1583681876.078012,32.0,1039.0
1583681878.639111,21.0,654.0
1583681881.178026,10.0,730.5
1583681883.69301,8.0,746.0
1583681886.209025,3.0,743.0
1583681888.741713,1.0,735.0
1583681891.28371,0.0,777.5
1583681893.83669,0.0,792.0
1583681896.384179,0.0,842.5
1583681898.915383,0.0,843.0
1583681901.440339,0.0,851.5
1583681903.972795,0.0,851.5
1583681906.507811,0.0,851.5
1583681909.040221,0.0,857.5
1583681911.574038,0.0,852.0
1583681914.13775,0.0,661.0
1583681916.663986,9.0,2763.0
1583681919.191385,16.0,1227.5
1583681921.763951,32.0,2401.0
1583681924.296403,49.0,3654.0
1583681926.840152,62.0,3407.5
1583681929.383876,73.0,3607.5
1583681931.912593,84.0,4155.0
1583681934.442544,94.0,4630.0
1583681937.009898,100.0,3513.5
1583681939.608984,104.0,3672.0
1583681942.139997,106.0,3753.5
1583681944.683799,104.0,2757.5
1583681947.234985,82.0,3582.0
1583681949.838744,72.0,3512.5
1583681952.36994,57.0,2383.5
1583681954.911124,35.0,752.0
1583681957.463669,12.0,650.5
1583681959.983673,2.0,990.5
1583681962.547164,7.0,1268.5
1583681965.087353,16.0,1998.0
1583681967.61608,21.0,1575.5
1583681970.186054,20.0,1485.0
1583681972.73727,22.0,1788.0
1583681975.283528,31.0,1522.5
1583681977.837225,33.0,1621.5
1583681980.383482,31.0,1555.0
1583681982.913443,29.0,1429.5
1583681985.48338,26.0,1336.0
1583681988.033731,29.0,1426.5
1583681990.583395,31.0,1535.0
1583681993.110817,32.0,1602.0
1583681995.645975,32.0,1618.5
1583681998.209567,31.0,1565.5
1583682000.738306,28.0,1408.5
1583682003.304521,33.0,1127.5
1583682005.833225,33.0,1151.5
1583682008.363236,33.0,1150.0
1583682010.914471,31.0,1108.5
1583682013.434464,29.0,1065.0
1583682015.971926,31.0,1120.5
1583682018.506927,29.0,968.5
1583682021.034337,26.0,895.0
1583682023.589375,26.0,937.0
1583682026.141867,14.0,750.5
1583682028.683193,6.0,581.5
1583682031.21183,16.0,1192.5
1583682033.739278,25.0,1530.5
1583682036.270562,27.0,1382.5
1583682038.79551,29.0,1456.5
1583682041.335468,31.0,1531.5
1583682043.859234,28.0,1407.5
1583682046.382999,28.0,1382.5
1583682048.911671,22.0,915.5
1583682051.436474,11.0,794.5
1583682054.008913,12.0,921.5
1583682056.582877,22.0,1665.5
1583682059.160348,18.0,806.0
1583682061.70783,20.0,1022.0
1583682064.245376,27.0,1364.0
1583682066.785298,7.0,705.0
1583682069.334,10.0,509.0
1583682071.915235,17.0,1189.0
1583682074.473962,25.0,1234.0
1583682077.008972,25.0,1215.0
1583682079.537685,24.0,758.0
1583682082.082668,26.0,742.0
1583682084.609519,25.0,647.5
1583682087.137644,15.0,697.0
1583682089.71637,7.0,755.5
1583682092.282631,1.0,752.5
1583682094.826357,4.0,1062.5
1583682097.382593,13.0,1848.0
1583682099.935092,10.0,836.0
1583682102.482515,5.0,746.0
1583682105.058726,8.0,1160.5
1583682107.610874,10.0,1476.0
1583682110.155201,15.0,2114.5
1583682112.692105,15.0,1082.0
1583682115.214806,15.0,1086.5
1583682117.73847,10.0,737.0
1583682120.324571,4.0,643.5
1583682122.891638,9.0,672.0
1583682125.421143,18.0,1390.5
1583682127.956796,22.0,1652.0
1583682130.480985,17.0,1222.5
1583682133.015192,17.0,1222.0
1583682135.545542,19.0,1434.0
1583682138.108331,24.0,1609.0
1583682140.644918,24.0,1191.5
1583682143.317623,28.0,1393.5
1583682145.846544,29.0,1027.0
1583682148.395444,26.0,938.5
1583682150.921775,27.0,965.5
1583682153.448215,28.0,996.0
1583682155.984571,25.0,919.0
1583682158.508226,23.0,816.0
1583682161.049641,23.0,780.5
1583682163.5722,13.0,657.0
1583682166.10223,6.0,697.5
1583682168.631048,0.0,763.0
1583682171.148524,2.0,741.0
1583682173.698591,3.0,744.5
1583682176.298614,2.0,753.5
1583682178.821043,2.0,762.5
1583682181.39728,3.0,816.0
1583682183.922316,3.0,693.0
1583682186.496074,4.0,760.0
1583682189.027276,4.0,741.5
1583682191.596007,3.0,790.0
1583682194.155998,2.0,622.0
1583682196.698518,3.0,566.0
1583682199.27101,3.0,523.0
1583682201.795948,5.0,724.5
1583682204.322088,4.0,695.0
1583682206.855965,3.0,780.0
1583682209.425948,5.0,2578.5
1583682211.960959,1.0,805.0
1583682214.522137,0.0,809.5

